,time_played,player_pos,collision,current_direction,current_drift,level_done,input_noise_magnitude,input_noise_threshold,visible_obstacles,visible_drift_tiles
53,"1,8044319152832031","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
54,"1,8391900062561035","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
55,"1,8717808723449707","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
56,"1,905566930770874","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
57,"1,9398949146270752","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
58,"1,9732999801635742","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
59,"2,007689952850342","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
60,"2,04187273979187","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
61,"2,0760538578033447","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
62,"2,110621929168701","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
63,"2,1448187828063965","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
64,"2,1789560317993164","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
65,"2,2122178077697754","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
66,"2,2463817596435547","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
67,"2,28108286857605","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
68,"2,314300775527954","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
69,"2,348472833633423","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
70,"2,3827598094940186","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
71,"2,4166767597198486","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
72,"2,4505767822265625","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
73,"2,4847607612609863","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
74,"2,5187859535217285","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
75,"2,5527398586273193","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
76,"2,586650848388672","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
77,"2,620512008666992","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
78,"2,654301881790161","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
79,"2,6880998611450195","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
80,"2,7232367992401123","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
81,"2,7564139366149902","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
82,"2,7904629707336426","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
83,"2,824449062347412","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
84,"2,8588149547576904","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
85,"2,8929789066314697","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
86,"2,92697811126709","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
87,"2,960925817489624","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
88,"2,994091033935547","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
89,"3,0282270908355713","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
90,"3,062384843826294","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
91,"3,0966739654541016","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
92,"3,130826950073242","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
93,"3,1649510860443115","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([350, 836])]]"
94,"3,198309898376465","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([350, 826])]]"
95,"3,232269048690796","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([350, 816])]]"
96,"3,2665107250213623","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([350, 806])]]"
97,"3,300837755203247","[672, 422]",False,"[0.517927, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([350, 796])]]"
